2002-02-26 23:22:05,964	mayra	aaabtdlbG2ixID	login	null	null	null	cs242769-110.houston.rr.com	24.27.69.110	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-27 04:07:38,400	mayra	aaafo-DdhVYo8U	login	ace	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-27 04:22:25,724	mayra	aaafo-DdhVYo8U	login	wily coyote	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-27 04:24:45,589	mayra	aaafo-DdhVYo8U	login	wily coyote	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-27 04:25:53,336	mayra	aaafo-DdhVYo8U	login	wily coyote	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-27 04:29:32,019	mayra	aaagSqLz0NyODc	login	wily coyote	null	null	24.216.142.150	24.216.142.150	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-27 04:34:38,112	mayra	aaafo-DdhVYo8U	login	wily coyote	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-27 04:37:26,343	mayra	aaafo-DdhVYo8U	logout	wily coyote	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-27 04:37:32,438	mayra	aaafo-DdhVYo8U	login	null	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-27 04:42:30,915	mayra	aaafo-DdhVYo8U	login	null	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-27 04:49:11,621	mayra	aaafo-DdhVYo8U	logout	null	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-27 04:49:20,093	mayra	aaafo-DdhVYo8U	login	null	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-27 05:01:37,599	mayra	aaafo-DdhVYo8U	logout	null	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-27 05:07:45,472	mayra	aaafo-DdhVYo8U	login	null	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-27 05:11:09,308	mayra	aaafo-DdhVYo8U	logout	null	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-27 05:13:38,025	mayra	aaafo-DdhVYo8U	login	null	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-27 05:14:46,254	mayra	aaafo-DdhVYo8U	logout	null	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-27 05:16:23,755	mayra	aaafo-DdhVYo8U	login	null	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-27 05:24:55,451	mayra	aaafo-DdhVYo8U	login	null	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-27 06:20:32,740	mayra	aaa4RJ7yzP3sjm	login	ace	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-27 07:17:05,370	mayra	aaafo-DdhVYo8U	login	wily coyote	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-27 07:17:35,063	mayra	aaafo-DdhVYo8U	logout	wily coyote	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-27 07:17:44,564	mayra	aaafo-DdhVYo8U	login	null	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-27 07:33:08,131	mayra	aaafo-DdhVYo8U	login	null	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-27 07:35:29,121	mayra	aaafo-DdhVYo8U	logout	null	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-27 07:35:35,123	mayra	aaafo-DdhVYo8U	login	wily coyote	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-27 11:58:09,725	mayra	aaa9pquJ-n-XzN	login	null	null	null	cs242769-110.houston.rr.com	24.27.69.110	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-27 11:59:35,874	mayra	aaa9pquJ-n-XzN	logout	null	null	null	cs242769-110.houston.rr.com	24.27.69.110	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-27 11:59:53,868	mayra	aaa9pquJ-n-XzN	login	wily coyote	null	null	cs242769-110.houston.rr.com	24.27.69.110	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-27 11:59:59,191	mayra	aaa9pquJ-n-XzN	logout	wily coyote	null	null	cs242769-110.houston.rr.com	24.27.69.110	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-27 12:02:27,266	mayra	aaa9pquJ-n-XzN	login	null	null	null	cs242769-110.houston.rr.com	24.27.69.110	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-27 12:02:46,084	mayra	aaa9pquJ-n-XzN	logout	null	null	null	cs242769-110.houston.rr.com	24.27.69.110	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-27 12:03:03,400	mayra	aaa9pquJ-n-XzN	login	wily coyote	null	null	cs242769-110.houston.rr.com	24.27.69.110	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-27 14:32:37,777	mayra	aaad-WLr8KTuyQ	login	null	null	null	user-119ap03.biz.mindspring.com	66.149.100.3	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
